reconcile , v , "मिलाउनु, मेलमिलाप गर्नु, पुनर्मेल गर्नु"
reform , n , "सुधार​ / (v)सुधार्नु"
region , n , "इलाका, क्षेत्र​"
relation , n , "नाता, सम्बन्ध​"
relationship , n , "सम्बन्ध​"
religion , n , "धर्म​"
remain , v , "रहनु"
remember , v , "याद गर्नु, सम्झनु"
remind , v , "सम्झाउनु"
remove , v , "हटाउनु"
rent , v , "महशुल​, भाडा"
repair , v , "मरमत गर्नु"
replace , v , "बदली गर्नु"
replacement , n , "बदली"
reply , n , "जवाफ​, उत्तर​"
representative , n , "प्र्तिनिधी"
request , n , "बिन्ति, अनुरोध​, निवेदन​"
research , n , "अनुसन्धान​"
resources , n , "साधन​, उपाय"
respect , v , "मान्नु, आदर गर्नु, सत्कार गर्नु"
respect , n , "मान​, अभिबादन​, सम्मान​, इज्जत​"
responsibility , n , "जिम्मा, जिम्मेवरी, दायित्व​"
rest , v , "आराम गर्नु"
restore , v , "जस्ताको त्यस्तो पार्नु, पुनःस्थान गर्नु"
result , n , "परिणाम​, नतिजा, फल​"
return , n , "फिर्ता / **return to** (v) फर्कनु, फर्किनु"
review , v , "फेरि हेर्नु, पुनर्बिचार गर्नु"
revise , v , "दोहोराउनु, आबृत्ति गर्नु"
revision , n , "संशोधन​, दोह्र्याउने काम​"
rhinoceros , n , "गैंडा"
right , n , "अधिकार​, हक"
ring , v , "बज्नु, बजाउनु"
ripen , v , "पाक्नु"
river , n , "नदच"
road , n , "सडक, बाटो, मागि"
rock , n , "ढुङ्गा"
roof , n , "छानु, छाना"
room , n , "कोठा"
routine , n , "कार्यक्र्म​, रुटिन​, दिनचर्या, नित्यकर्मको ब्यब्स्था"
rudiment , n , "मूलसुत्र​, सुत्रपात​, आरम्भ​, मूल तत्व"
rule , n , "नियम​"
run , v , "कुदनु, दगुर्नु, बग्नु, भाग्नु / **administer** (v) संचालन गर्नु, चलाउनु"
rupee , n , "रुपिया"
sack , n , "बोरा"
sadness , n , "दु:ख"
salary , n , "तलब"
sale , n , "बिक्रि"
salt , n , "नुन​"
sample , n , "नमनाु"
satisfaction , n , "सन्तोष​, सन्तोक​"
saturday , n , "शनिवार​"
saturn , n , "शनि"
save , v , "बचाउनु, संचय गर्नु, जोगाउनु"
say , v , "भन्नु"
science , n , "बिज्ञान​"
scissors , n , "कैंची"
scold , v , "गालि गर्नु, हपार्नु"
search , v , "खोज्नु"
secret , n , "गुप्ती, गुप्त​, गोप्य​"
secretary , n , "सचिब​"
section , n , "फांट​"
see , v , "देख्नु"
seed , n , "बिउ"
seedling , n , "बिरुवा"
selection , n , "छानबीन​, रोजाई"
selfishness , n , "स्वार्थ बुद्धी, स्वार्थिपन​"
self respect , n , "आत्मबिशवास​"
sell , v , "बेच्नु"
send back , v , "फर्काउनु"
service , n , "नोकरी, सेवा"
settle , v , "बसोबास गर्नु"
sewing , n , "सिलाई"
shirt , n , "कमिज​"
shoe , n , "जुत्ता"
shop , n , "पसल"
show , v , "देखाउनु / (n) प्र्दर्शन​"
signature , n , "सही"
silver , n , "चाँदी"
sing , v , "गाउनु"
sir , n , "साहेब​ / **business letter** (n) महोदय"
sitar , n , "सितार​"
situation , n , "स्थिति, अवस्था, हालत​"
skill , n , "थसप, सिप​, दक्षता, सिपालुपन​, चातुर्य​"
skin , n , "छाला"
sleep , v , "सुत्नु"
slip , v , "चिप्लिनु"
smallpox , n , "बिफर​"
snack , n , "खाजा"
snatch , v , "खोस्नु"
snow , n , "हिउँ"
society , n , "समाज"
sociology , n , "समाज-शास्त्र्"
socks , n , "मोजा"
soil , n , "माटो"
soldier , n , "सैनिक​"
sorrow , n , "करुण​, दुःखद​"
sound , n , "आवाज​"
source , n , "श्रोत​"
south , n , "दिघण"
sow , v , "छर्नु"
sparkle , n , "जगमग"
sparkle , v , "झल्क​नु, टल्क​नु"
speak , v , "बोल्नु"
speak with , v , "कुरा गर्नु"
specially , n , "विशेषगरेर​"
speech , n , "प्र्वचन​, भाषण​"
speed , n , "गति"
spend , v , "खर्च गर्नु"
spike , n , "कीला, तिखो काँडा"
spoon , n , "चम्चा"
sport , n , "खेलकुद​"
staff , n , "कर्मचारी, कार्यकर्ता"
stake , n , "काठको किला"
stamp , n , "टिकट​ / **office seal** (n) छाप"
start , v , "थाल्नु, शुरु गर्नु"
state , n , "मुलूक​, राज्य​"
statistics , n , "तथ्याङ्क​"
statue , n , "मुर्ति"
stipend , n , "भत्ता"
stir , v , "चलाउनु"
stomach , n , "पेट"
stone , n , "ढुङ्गा"
store , n , "पसल"
story , n , "कथा"
strength , n , "बल, ताकत, सामर्थ्य​"
student , n , "बिध्यार्थी"
hostel , n , "छात्र्बास​"
study , v , "पढ्नु, अध्यन गर्नु"
submit , v , "पेश गर्नु"
subsidy , n , "अनदानु, आर्थिक सहायता"
subtract , v , "घटाउनु"
subtraction , n , "घटाउ"
sugar , n , "चिनी"
suggestion , n , "सुझाव​, प्र्स्ताब​"
summon , v , "डाक्नु, समन गर्नु, आह्ववान गर्नु"
sun , n , "सुर्य​"
sunday , n , "आइतवार"
sunshine , n , "घाम"
sunlight , n , "घाम"
superstition , n , "कुरुती, अन्धविश्वास​, रुढिबादी"
supervise , v , "रेखदेख गर्नु"
supervision , n , "निर्देशन​"
support , n , "समर्थन​, आधार​, पालन​-पोषण​"
surplus , n , "बढ्ता, बाँकी रहेको कुरा"
survey , n , "नापजांच​, नापी, सर्बेक्षण​"
suspicion , n , "शंका"
sweep , v , "बडार्नु, बढार्नु"
swim , v , "पौडी खेल्ने"
swing , n , "पिङ्ग​"
symbol , n , "संकेत​, इशारा, चिन्ह​"
table , n , "टेबुल​"
talk , v , "कुरा गर्नु"
taste , n , "स्वाद​"
tax , n , "कर  / (v) कर लगाउनु"
tea , n , "चिया"
teach , v , "सिकाउनु, पढाउनु"
teacher , n , "शिक्षक​, गुरु"
technician , n , "प्राबिधिकज्ञ"
tell , v , "भन्नु"
temple , n , "मन्दिर​"
test , n , "जांच"
thing , n , "कुरा, चिज​"
things , n , "चिजबिज​"
think , v , "सोच्नु, विचार गर्नु"
thirst , n , "तिर्खा"
thought , n , "विचार​"
thousand , n , "हजार"
throat , n , "घाँटी"
thursday , n , "बिहिबार​"
ticket , n , "टिकट"
tika , n , "टिका"
time , n , "बेला, समय​, बखत​, काल​ / **occurrence** (n) पटक​, पल्ट​, चोटी"
tired , v , "थाक्नु"
tobacco , n , "तमाखु, सुर्ती"
tools , n , "औजार"
tooth , n , "दाँत"
total , n , "जम्मा"
tour , n , "भ्र्मण​"
tourist , n , "पर्यटक​, टुरिस्ट​"
trade , n , "व्यापार​"
tragedy , n , "बियोग​"
training , n , "तालिम​"
transfer , v , "सर्नु, सरुवा गर्नु"
translation , n , "अनुबाद​, उल्था"
transportation , n , "यातायात​"
travel , v , "घुम्नु, यात्रा गर्नु, सफर गर्नु"
tree , n , "रुख​, बोट​"
trouble , n , "तकलिफ​, दुःख​"
truth , n , "सत्यता"
try , v , "कोशिश गर्नु"
tuesday , n , "मङ्गलबार​"
turn , n , "पालो"
turtle , n , "कछुवा"
type , n , "थोक, किसिम​, प्र्कार​, खाल​"
umbrella , n , "छाता"
unanimity , n , "एकमतता, सर्वसम्मति, एकमत​, मतैक्य​"
unification , n , "एकिकरण​"
unit , n , "एकाई"
united Nations , n , "संयुत्त राष्ट्र् संघ​"
unity , n , "एकता"
universe , n , "बिश्व​"
university , n , "बिश्व​बिधालय​"
usage , n , "प्र्योग​, व्यबहार​"
use , n , "प्र्योग​, चलन​"
usefulness , n , "उपयोगिता, उपकारिता"
utensil , n , "भाँडा कुंडा"
utility , n , "उपयोगी, उपयुत्त​, उपयोगिता"
vacancy , n , "रिक्त्त स्थान​"
vacation , n , "बिदा, छुट्टी"
value , n , "मुल्य​"
vegetable garden , n , "साग​-बारि, तर्कारी बारी"
venus , n , "शुक्र्"
village , n , "गाउँ"
visit , v , "दशर्न गर्नु"
voluntary labor , n , "श्र्मदान​"
wait , v , "पर्खनु, पर्खिनु"
walk , v , "हिड्नु, हिडेर जानु"
want , v , "चाहनु"
warehouse , n , "गोदाम"
wash , n , "धुनु, माझ्नु"
watch , n , "घडी / हेर्नु"
watchman , n , "पाले"
water , n , "पानी"
water hole , n , "कूवा"
water pipe , n , "नली"
water resources , n , "जल श्रोत​"
water supply , n , "खाने पानी बितरण​"
watershed , n , "जलाधार"
way , n , "उपाय"
wealth , n , "सम्पती"
wear , v , "लगाउनु, लाउनु"
weather , n , "मौसम"
wednesday , n , "बुधबार​"
weight , n , "तौल"
well , n , "इनार"
west , n , "परिश्र्म​"
wheat , n , "गहुँ"
window , n , "झ्याल​"
work , n , "काम, कार्य​ / (v) काम गर्नु"
worker , n , "कार्यकर्ता, कामदार​"
world , n , "संसार​, लोक​"
worry , n , "पिर​"
worship , v , "पुजा गर्नु"
writer , n , "लेखक​"
yak , n , "याक, चौरी"
year , n , "बर्ष​, साल"
yogurt , n , "दहि"
youth , n , "जवान"
zonal commissioner , n , "अञ्चलाधिश​"
zone , n , "अञ्चल​"
zoology , n , "प्राणी-बिज्ञान​"
